QuestionKey,BankKey,NodeKey,QuestionType,Difficulty,QuestionText,CorrectAnswer,Explanation
ctst6-c1-01,ctst6,c1,MultipleChoice,Easy,Kết quả của phép tính 849 − 165 là:,684,849 − 165 = 684.
ctst6-c1-02,ctst6,c1,TrueFalse,Easy,Khẳng định sau đúng hay sai: 5745 > 9632.,false,So sánh: 5745 < 9632.
ctst6-c1-03,ctst6,c1,FillBlank,Medium,"Trong số 32888, chữ số 8 ở hàng đơn vị có giá trị bằng bao nhiêu?",8,Giá trị = 8 × 1 = 8.
ctst6-c1-04,ctst6,c1,MultipleChoice,Medium,Giá trị của luỹ thừa 3^3 là:,27,3^3 = 3 × 3 × 3 = 27.
ctst6-c1-05,ctst6,c1,TrueFalse,Hard,Khẳng định sau đúng hay sai: 887 chia hết cho 9.,false,887 : 9 dư 5.
ctst6-c1-06,ctst6,c1,MultipleChoice,Hard,Số nào sau đây là số nguyên tố?,23,23 chỉ có hai ước là 1 và 23 nên là số nguyên tố.
ctst6-c1-07,ctst6,c1,FillBlank,Medium,"Phân tích số 12 ra thừa số nguyên tố (viết dạng tích luỹ thừa, ví dụ 2^2 × 3):",2^2 × 3,12 = 2^2 × 3.
ctst6-c1-08,ctst6,c1,MultipleChoice,Medium,"Giá trị của ƯCLN(16, 23) là:",1,"ƯCLN(16, 23) = 1."
ctst6-c2-01,ctst6,c2,MultipleChoice,Medium,Kết quả của phép tính (12) + (-12) là:,0,(12) + (-12) = 0.
ctst6-c2-02,ctst6,c2,TrueFalse,Medium,Khẳng định sau đúng hay sai: -41 > -32.,false,"Trên trục số, -32 nằm bên phải -41."
ctst6-c2-03,ctst6,c2,FillBlank,Easy,Giá trị tuyệt đối |-84| bằng bao nhiêu?,84,|-84| = 84 (khoảng cách từ điểm -84 đến gốc 0).
ctst6-c2-04,ctst6,c2,MultipleChoice,Hard,"Nhiệt độ lúc đầu là -3°C, sau đó tăng 8°C. Nhiệt độ lúc sau là:",5°C,-3 + 8 = 5.
ctst6-c2-05,ctst6,c2,MultipleChoice,Easy,Kết quả của phép tính (15) − (-1) là:,16,(15) − (-1) = 16.
ctst6-c2-06,ctst6,c2,TrueFalse,Medium,Khẳng định sau đúng hay sai: -24 > -5.,false,"Trên trục số, -5 nằm bên phải -24."
ctst6-c2-07,ctst6,c2,FillBlank,Easy,Giá trị tuyệt đối |-52| bằng bao nhiêu?,52,|-52| = 52 (khoảng cách từ điểm -52 đến gốc 0).
ctst6-c2-08,ctst6,c2,MultipleChoice,Medium,"Nhiệt độ lúc đầu là -8°C, sau đó giảm 6°C. Nhiệt độ lúc sau là:",-14°C,-8 − 6 = -14.
ctst6-c3-01,ctst6,c3,MultipleChoice,Easy,"Hình chữ nhật dài 13 cm, rộng 12 cm. Diện tích của nó là:",156 cm²,S = 13 × 12 = 156 (cm²).
ctst6-c3-02,ctst6,c3,TrueFalse,Easy,Khẳng định sau đúng hay sai: Hình thang cân có hai đường chéo bằng nhau.,true,Đây là tính chất đúng của hình đó.
ctst6-c3-03,ctst6,c3,FillBlank,Easy,"Chu vi hình chữ nhật dài 19 m, rộng 15 m bằng bao nhiêu mét?",68,P = 2 × (19 + 15) = 68 (m).
ctst6-c3-04,ctst6,c3,MultipleChoice,Medium,"Tam giác có đáy 32 cm, chiều cao 10 cm. Diện tích của tam giác là:",160 cm²,S = (đáy × chiều cao) : 2 = (32 × 10) : 2 = 160 (cm²).
ctst6-c3-05,ctst6,c3,MultipleChoice,Hard,"Hình chữ nhật dài 15 cm, rộng 11 cm. Diện tích của nó là:",165 cm²,S = 15 × 11 = 165 (cm²).
ctst6-c3-06,ctst6,c3,TrueFalse,Hard,Khẳng định sau đúng hay sai: Hình vuông có bốn cạnh bằng nhau và bốn góc vuông.,true,Đây là tính chất đúng của hình đó.
ctst6-c3-07,ctst6,c3,FillBlank,Easy,"Chu vi hình chữ nhật dài 17 m, rộng 13 m bằng bao nhiêu mét?",60,P = 2 × (17 + 13) = 60 (m).
ctst6-c3-08,ctst6,c3,MultipleChoice,Medium,"Tam giác có đáy 12 cm, chiều cao 10 cm. Diện tích của tam giác là:",60 cm²,S = (đáy × chiều cao) : 2 = (12 × 10) : 2 = 60 (cm²).
ctst6-c4-01,ctst6,c4,FillBlank,Medium,"Gieo một con xúc xắc 12 lần thì có 11 lần xuất hiện mặt 6 chấm. Xác suất thực nghiệm của sự kiện ""mặt 6 chấm"" là bao nhiêu? (viết phân số tối giản)",11/12,Xác suất thực nghiệm = 11/12 = 11/12.
ctst6-c4-02,ctst6,c4,MultipleChoice,Easy,Bảng số học sinh yêu thích 5 môn thể thao: 9; 7; 2; 2; 10. Tổng số học sinh được khảo sát là:,30,Cộng các giá trị: 9 + 7 + 2 + 2 + 10 = 30.
ctst6-c4-03,ctst6,c4,TrueFalse,Easy,"Khẳng định sau đúng hay sai: Khi tung đồng xu, khả năng ra mặt sấp và mặt ngửa là như nhau.",true,Khẳng định đúng theo định nghĩa.
ctst6-c4-04,ctst6,c4,MultipleChoice,Easy,Bảng số học sinh đạt điểm giỏi: Toán: 10; Văn: 3; Anh: 12; Khoa học: 6; Thể dục: 10. Môn nào có nhiều học sinh đạt điểm giỏi nhất?,Anh,Giá trị lớn nhất là 12 ứng với môn Anh.
ctst6-c4-05,ctst6,c4,FillBlank,Medium,"Gieo một con xúc xắc 16 lần thì có 9 lần xuất hiện mặt 6 chấm. Xác suất thực nghiệm của sự kiện ""mặt 6 chấm"" là bao nhiêu? (viết phân số tối giản)",9/16,Xác suất thực nghiệm = 9/16 = 9/16.
ctst6-c4-06,ctst6,c4,MultipleChoice,Easy,Bảng số học sinh yêu thích 5 môn thể thao: 11; 5; 10; 6; 6. Tổng số học sinh được khảo sát là:,38,Cộng các giá trị: 11 + 5 + 10 + 6 + 6 = 38.
ctst6-c4-07,ctst6,c4,TrueFalse,Hard,Khẳng định sau đúng hay sai: Xác suất thực nghiệm của một sự kiện luôn lớn hơn 1.,false,Khẳng định này sai.
ctst6-c4-08,ctst6,c4,MultipleChoice,Easy,Bảng số học sinh đạt điểm giỏi: Toán: 13; Văn: 6; Anh: 14; Khoa học: 10; Thể dục: 12. Môn nào có nhiều học sinh đạt điểm giỏi nhất?,Anh,Giá trị lớn nhất là 14 ứng với môn Anh.
ctst6-c5-01,ctst6,c5,FillBlank,Medium,Tính và rút gọn: 4/8 + 1/4 = ? (viết phân số tối giản dạng a/b),3/4,4/8 + 1/4 = 24/32 = 3/4.
ctst6-c5-02,ctst6,c5,MultipleChoice,Medium,Phân số nào lớn hơn: 1/6 hay 4/7?,4/7,Quy đồng: 1/6 = 7/42; 4/7 = 24/42.
ctst6-c5-03,ctst6,c5,MultipleChoice,Medium,Kết quả của 3/4 × 2/2 (rút gọn) là:,3/4,3/4 × 2/2 = 6/8 = 3/4.
ctst6-c5-04,ctst6,c5,TrueFalse,Hard,Khẳng định sau đúng hay sai: 1/4 = 4/16.,true,Nhân cả tử và mẫu của 1/4 với 4 được 4/16.
