NodeKey,DeckTitle,CardOrder,FrontText,BackText,Hint
c1b1,Từ khoá – Tập hợp,1,Phần tử,Mỗi đối tượng thuộc một tập hợp.,
c1b1,Từ khoá – Tập hợp,2,$\in$ / $\notin$,"""thuộc"" / ""không thuộc"".",
c1b1,Từ khoá – Tập hợp,3,Cách cho tập hợp,Liệt kê phần tử hoặc nêu tính chất đặc trưng.,
c1b1,Từ khoá – Tập hợp,4,$\mathbb{N}$,Tập hợp các số tự nhiên $0;1;2;3;\dots$,
c1b2,Từ khoá – Cách ghi số tự nhiên,1,Hệ thập phân,"Hệ ghi số dùng 10 chữ số, mỗi hàng gấp 10 lần hàng sau.",
c1b2,Từ khoá – Cách ghi số tự nhiên,2,$\overline{ab}$,Số có hai chữ số $a$ (hàng chục) và $b$ (hàng đơn vị); $\overline{ab}=10a+b$.,
c1b2,Từ khoá – Cách ghi số tự nhiên,3,XXIV,Số 24 viết bằng số La Mã.,
c1b3,Từ khoá – Thứ tự trong tập hợp các số tự nhiên,1,$a \le b$,$a$ nhỏ hơn hoặc bằng $b$.,
c1b3,Từ khoá – Thứ tự trong tập hợp các số tự nhiên,2,Số liền sau của $a$,$a+1$.,
c1b3,Từ khoá – Thứ tự trong tập hợp các số tự nhiên,3,Tính chất bắc cầu,$a<b$ và $b<c$ thì $a<c$.,
c1b4,Từ khoá – Phép cộng và phép trừ số tự nhiên,1,Giao hoán (cộng),$a+b=b+a$.,
c1b4,Từ khoá – Phép cộng và phép trừ số tự nhiên,2,Kết hợp (cộng),$(a+b)+c=a+(b+c)$.,
c1b4,Từ khoá – Phép cộng và phép trừ số tự nhiên,3,Tìm số hạng chưa biết,Số hạng = Tổng − số hạng kia.,
c1b4,Từ khoá – Phép cộng và phép trừ số tự nhiên,4,Tìm số bị trừ,Số bị trừ = Hiệu + số trừ.,
c1b5,Từ khoá – Phép nhân và phép chia số tự nhiên,1,Phân phối,$a(b+c)=ab+ac$.,
c1b5,Từ khoá – Phép nhân và phép chia số tự nhiên,2,Phép chia có dư,$a=bq+r$ với $0\le r<b$.,
c1b5,Từ khoá – Phép nhân và phép chia số tự nhiên,3,Chia hết,Phép chia có số dư bằng 0.,
c1b5,Từ khoá – Phép nhân và phép chia số tự nhiên,4,Tìm thừa số chưa biết,Thừa số = Tích : thừa số kia.,
c1b6,Từ khoá – Luỹ thừa với số mũ tự nhiên,1,Cơ số / số mũ,"Trong $a^n$: $a$ là cơ số, $n$ là số mũ.",
c1b6,Từ khoá – Luỹ thừa với số mũ tự nhiên,2,Nhân luỹ thừa cùng cơ số,$a^m\cdot a^n=a^{m+n}$.,
c1b6,Từ khoá – Luỹ thừa với số mũ tự nhiên,3,Chia luỹ thừa cùng cơ số,"$a^m:a^n=a^{m-n}$ $(a\ne0,\ m\ge n)$.",
c1b6,Từ khoá – Luỹ thừa với số mũ tự nhiên,4,$a$ bình phương,$a^2$.,
c1b7,Từ khoá – Thứ tự thực hiện các phép tính,1,Thứ tự (không ngoặc),"Luỹ thừa → nhân, chia → cộng, trừ.",
