NodeKey,OrderIndex,BlockType,ContentText,ContentUrl,MetadataJson
c1b1,1,Heading,# Bài 1. Tập hợp,,
c1b1,2,Text,"Trong đời sống, ta thường gặp những nhóm đối tượng gộp lại với nhau: bộ sưu tập tem, đàn ong trong tổ, các bạn trong tổ học tập… Toán học gọi mỗi nhóm như vậy là một *tập hợp*.",,
c1b1,3,Definition,**Tập hợp.** một nhóm các đối tượng được xác định rõ ràng. Mỗi đối tượng trong nhóm là một *phần tử* của tập hợp đó.,,
c1b1,4,Text,"Người ta thường đặt tên tập hợp bằng chữ cái in hoa: $A$, $B$, $M$, … Nếu $x$ là phần tử của tập hợp $A$ ta viết $x \in A$ (đọc: $x$ thuộc $A$); nếu $x$ không phải phần tử của $A$ ta viết $x \notin A$.",,
c1b1,5,Definition,"**Hai cách mô tả một tập hợp.** **Cách 1** – liệt kê các phần tử: viết tất cả phần tử trong dấu ngoặc nhọn, cách nhau bởi dấu "";"". **Cách 2** – chỉ ra tính chất đặc trưng cho các phần tử.",,
c1b1,6,Formula,"A=\{0;\,1;\,2;\,3;\,4\}\qquad\text{hoặc}\qquad A=\{x\in\mathbb{N}\mid x<5\}",,
c1b1,7,Example,"**Ví dụ.** Viết tập hợp $B$ các số tự nhiên lớn hơn 5 và nhỏ hơn 10 bằng hai cách.

**Lời giải.** Liệt kê: $B=\{6;7;8;9\}$. Nêu tính chất đặc trưng: $B=\{x\in\mathbb{N}\mid 5<x<10\}$. Tập hợp $B$ có 4 phần tử; $7\in B$ còn $10\notin B$.",,
c1b1,8,Note,**Chú ý.** Mỗi phần tử chỉ được liệt kê một lần; thứ tự liệt kê không quan trọng. Kí hiệu $\mathbb{N}$ chỉ tập hợp các số tự nhiên $0;1;2;3;\dots$,,
c1b2,1,Heading,# Bài 2. Cách ghi số tự nhiên,,
c1b2,2,Text,"Để ghi các số tự nhiên ta dùng **hệ thập phân**: mười chữ số $0,1,2,3,4,5,6,7,8,9$ và quy tắc ""cứ mười đơn vị ở một hàng thì bằng một đơn vị ở hàng liền trước"".",,
c1b2,3,Definition,"**Giá trị theo vị trí.** Trong một số, mỗi chữ số có một giá trị phụ thuộc vị trí (hàng) của nó: hàng đơn vị, hàng chục, hàng trăm, hàng nghìn, …",,
c1b2,4,Formula,\overline{abcd}=a\cdot 1000+b\cdot 100+c\cdot 10+d,,
c1b2,5,Example,"**Ví dụ.** Viết số 3457 thành tổng giá trị các chữ số.

**Lời giải.** $3457=3\cdot 1000+4\cdot 100+5\cdot 10+7$. Chữ số 4 nằm ở hàng trăm nên có giá trị $400$.",,
c1b2,6,Definition,"**Số La Mã.** Dùng các kí hiệu $I=1$, $V=5$, $X=10$ (cùng $L=50$, $C=100$) ghép theo quy tắc cộng/trừ để viết số. Ví dụ $IV=4$, $VI=6$, $XII=12$, $XXVII=27$.",,
c1b2,7,Note,"**Chú ý.** Khi viết một số tự nhiên có nhiều hơn ba chữ số, người ta thường tách nhóm ba chữ số từ phải sang trái cho dễ đọc: $1\,234\,567$.",,
c1b3,1,Heading,# Bài 3. Thứ tự trong tập hợp các số tự nhiên,,
c1b3,2,Text,"Các số tự nhiên được biểu diễn trên tia số: gốc là điểm 0, các điểm cách đều nhau và tăng dần từ trái sang phải.",,
c1b3,3,Definition,"**So sánh hai số tự nhiên.** Trong hai số tự nhiên khác nhau luôn có một số nhỏ hơn số kia. Nếu $a$ nhỏ hơn $b$ ta viết $a<b$ (hoặc $b>a$). Trên tia số, điểm biểu diễn số nhỏ nằm bên trái điểm biểu diễn số lớn.",,
c1b3,4,Formula,a\le b \iff (a<b \text{ hoặc } a=b);\qquad a<b \text{ và } b<c \Rightarrow a<c,,
c1b3,5,Definition,**Số liền trước – số liền sau.** Số liền sau của $a$ là $a+1$; số liền trước của $a$ (với $a\ge 1$) là $a-1$. Hai số tự nhiên liên tiếp hơn kém nhau 1 đơn vị.,,
c1b3,6,Example,"**Ví dụ.** Viết các số tự nhiên $x$ thoả mãn $12\le x<17$.

**Lời giải.** $x\in\{12;13;14;15;16\}$ — gồm 5 số.",,
c1b3,7,Note,**Chú ý.** Số 0 là số tự nhiên nhỏ nhất. Không có số tự nhiên lớn nhất vì mỗi số đều có số liền sau.,,
c1b4,1,Heading,# Bài 4. Phép cộng và phép trừ số tự nhiên,,
c1b4,2,Text,Phép cộng hai số tự nhiên $a$ và $b$ cho kết quả là tổng $a+b$. Phép trừ $a-b$ chỉ thực hiện được trong tập số tự nhiên khi $a\ge b$.,,
c1b4,3,Definition,"**Tính chất của phép cộng.** giao hoán, kết hợp và cộng với số 0.",,
c1b4,4,Formula,a+b=b+a;\qquad (a+b)+c=a+(b+c);\qquad a+0=0+a=a,,
c1b4,5,Example,"**Ví dụ.** Tính hợp lí: $37+58+63$.

**Lời giải.** $37+58+63=(37+63)+58=100+58=158$ (dùng tính chất giao hoán và kết hợp để ghép số tròn trăm).",,
c1b4,6,Definition,**Quan hệ giữa phép cộng và phép trừ.** nếu $a-b=c$ thì $a=b+c$ và $b=a-c$. Ta dùng quan hệ này để tìm số chưa biết.,,
c1b4,7,Example,"**Ví dụ.** Tìm $x$ biết $x-124=237$.

**Lời giải.** $x=237+124=361$.",,
c1b4,8,Note,"**Chú ý.** Khi tính một dãy phép cộng và trừ không có dấu ngoặc, ta thực hiện lần lượt từ trái sang phải.",,
c1b5,1,Heading,# Bài 5. Phép nhân và phép chia số tự nhiên,,
c1b5,2,Text,Tích của hai số tự nhiên $a$ và $b$ kí hiệu $a\cdot b$ (hoặc $ab$). Phép chia có hai loại: chia hết và chia có dư.,,
c1b5,3,Definition,"**Tính chất của phép nhân.** giao hoán, kết hợp, nhân với số 1 và tính chất phân phối của phép nhân đối với phép cộng.",,
c1b5,4,Formula,ab=ba;\quad (ab)c=a(bc);\quad a\cdot 1=a;\quad a(b+c)=ab+ac,,
c1b5,5,Example,"**Ví dụ.** Tính nhanh $25\cdot 12$.

**Lời giải.** $25\cdot 12=25\cdot 4\cdot 3=100\cdot 3=300$.",,
c1b5,6,Definition,"**Phép chia có dư.** với $a,b\in\mathbb{N}$, $b\ne 0$, luôn có duy nhất cặp số $q$ (thương) và $r$ (số dư) sao cho $a=b\cdot q+r$ với $0\le r<b$. Khi $r=0$ ta có phép chia hết.",,
c1b5,7,Formula,a=b\cdot q+r\qquad (0\le r<b),,
c1b5,8,Example,"**Ví dụ.** Thực hiện phép chia $2023:5$.

**Lời giải.** $2023=5\cdot 404+3$, vậy thương là 404 và số dư là 3.",,
c1b5,9,Note,**Chú ý.** Không có phép chia cho 0. Nếu $a\cdot b=0$ thì $a=0$ hoặc $b=0$.,,
c1b6,1,Heading,# Bài 6. Luỹ thừa với số mũ tự nhiên,,
c1b6,2,Text,"Khi nhân nhiều thừa số bằng nhau, ta viết gọn bằng luỹ thừa.",,
c1b6,3,Definition,"**Luỹ thừa.** $a^n$ (đọc: $a$ mũ $n$) là tích của $n$ thừa số $a$, với $n\ne 0$. $a$ gọi là *cơ số*, $n$ gọi là *số mũ*.",,
c1b6,4,Formula,a^n=\underbrace{a\cdot a\cdots a}_{n\text{ thừa số}}\quad(n\ne 0);\qquad a^1=a;\qquad a^2\text{ đọc là }a\text{ bình phương},,
c1b6,5,Example,"**Ví dụ.** Viết gọn $7\cdot 7\cdot 7\cdot 7$ và tính $2^5$.

**Lời giải.** $7\cdot 7\cdot 7\cdot 7=7^4$. $2^5=2\cdot2\cdot2\cdot2\cdot2=32$.",,
c1b6,6,Definition,"**Nhân và chia hai luỹ thừa cùng cơ số.** khi nhân, ta giữ nguyên cơ số và cộng các số mũ; khi chia (cơ số khác 0), ta giữ nguyên cơ số và trừ các số mũ.",,
c1b6,7,Formula,"a^m\cdot a^n=a^{m+n};\qquad a^m:a^n=a^{m-n}\ (a\ne 0,\ m\ge n)",,
c1b6,8,Example,"**Ví dụ.** Viết kết quả dưới dạng một luỹ thừa: $3^4\cdot 3^3$ và $5^8:5^5$.

**Lời giải.** $3^4\cdot 3^3=3^{7}$; $5^8:5^5=5^{3}=125$.",,
c1b6,9,Note,**Chú ý.** Quy ước $a^0=1$ với $a\ne 0$. Luỹ thừa của 10: $10^n$ là số gồm chữ số 1 theo sau bởi $n$ chữ số 0.,,
c1b7,1,Heading,# Bài 7. Thứ tự thực hiện các phép tính,,
c1b7,2,Text,"Một biểu thức có thể chứa nhiều phép tính. Để mọi người tính ra cùng một kết quả, cần thống nhất thứ tự thực hiện.",,
c1b7,3,Definition,**Quy tắc (biểu thức không có dấu ngoặc).** Luỹ thừa $\to$ nhân và chia $\to$ cộng và trừ. Các phép cùng mức thực hiện từ trái sang phải.,,
