QuestionKey,BankKey,NodeKey,QuestionType,Difficulty,QuestionText,CorrectAnswer,Explanation
kntt6-c1-01,kntt6,c1,MultipleChoice,Hard,Kết quả của phép tính 441 × 54 là:,23814,441 × 54 = 23814.
kntt6-c1-02,kntt6,c1,TrueFalse,Medium,Khẳng định sau đúng hay sai: 2103 < 1118.,false,So sánh: 2103 > 1118.
kntt6-c1-03,kntt6,c1,FillBlank,Hard,"Trong số 74016, chữ số 4 ở hàng nghìn có giá trị bằng bao nhiêu?",4000,Giá trị = 4 × 1000 = 4000.
kntt6-c1-04,kntt6,c1,MultipleChoice,Easy,Giá trị của luỹ thừa 6^3 là:,216,6^3 = 6 × 6 × 6 = 216.
kntt6-c1-05,kntt6,c1,MultipleChoice,Easy,Kết quả của phép tính 652 − 40 là:,612,652 − 40 = 612.
kntt6-c1-06,kntt6,c1,TrueFalse,Medium,Khẳng định sau đúng hay sai: 2644 > 3582.,false,So sánh: 2644 < 3582.
kntt6-c1-07,kntt6,c1,FillBlank,Hard,"Trong số 94278, chữ số 2 ở hàng trăm có giá trị bằng bao nhiêu?",200,Giá trị = 2 × 100 = 200.
kntt6-c1-08,kntt6,c1,MultipleChoice,Hard,Giá trị của luỹ thừa 5^3 là:,125,5^3 = 5 × 5 × 5 = 125.
kntt6-c1-09,kntt6,c1,MultipleChoice,Hard,Kết quả của phép tính 529 × 47 là:,24863,529 × 47 = 24863.
kntt6-c1-10,kntt6,c1,TrueFalse,Easy,Khẳng định sau đúng hay sai: 6586 < 9860.,true,So sánh: 6586 < 9860.
kntt6-c1-11,kntt6,c1,FillBlank,Easy,"Trong số 96586, chữ số 6 ở hàng đơn vị có giá trị bằng bao nhiêu?",6,Giá trị = 6 × 1 = 6.
kntt6-c1-12,kntt6,c1,MultipleChoice,Medium,Giá trị của luỹ thừa 6^2 là:,36,6^2 = 6 × 6 = 36.
kntt6-c1-13,kntt6,c1,MultipleChoice,Medium,Kết quả của phép tính 679 × 173 là:,117467,679 × 173 = 117467.
kntt6-c1-14,kntt6,c1,TrueFalse,Hard,Khẳng định sau đúng hay sai: 4693 < 3598.,false,So sánh: 4693 > 3598.
kntt6-c1-15,kntt6,c1,FillBlank,Medium,"Trong số 46490, chữ số 6 ở hàng nghìn có giá trị bằng bao nhiêu?",6000,Giá trị = 6 × 1000 = 6000.
kntt6-c1-16,kntt6,c1,MultipleChoice,Hard,Giá trị của luỹ thừa 4^4 là:,256,4^4 = 4 × 4 × 4 × 4 = 256.
kntt6-c2-01,kntt6,c2,TrueFalse,Hard,Khẳng định sau đúng hay sai: 196 chia hết cho 2.,true,196 : 2 là phép chia hết.
kntt6-c2-02,kntt6,c2,MultipleChoice,Medium,Số nào sau đây là số nguyên tố?,13,13 chỉ có hai ước là 1 và 13 nên là số nguyên tố.
kntt6-c2-03,kntt6,c2,FillBlank,Medium,"Phân tích số 18 ra thừa số nguyên tố (viết dạng tích luỹ thừa, ví dụ 2^2 × 3):",2 × 3^2,18 = 2 × 3^2.
